workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
larson	hz10-coarse	4	4.177	287616	287616	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	4	-	-	-	2095544
xmalloc_test	hz10-coarse	4	2.00	13952	-	-
cache_scratch	hz10-coarse	4	1.09	3968	-	-
mstress	hz10-coarse	4	0.22	209928	-	-
sh6bench	hz10-coarse	4	0.67	323584	-	-
python_alloc	hz10-coarse	5	0.91	116796	-	-
redis_setget	hz10-coarse	5	0.55	8064	-	-
redis_server_rss_kb	hz10-coarse	5	-	NA	NA	server
larson	hz10-coarse	5	4.189	288768	288768	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-coarse	5	-	-	-	2095552
xmalloc_test	hz10-coarse	5	2.00	13568	-	-
cache_scratch	hz10-coarse	5	1.10	3968	-	-
mstress	hz10-coarse	5	0.22	203692	-	-
sh6bench	hz10-coarse	5	0.68	322304	-	-
python_alloc	hz10-base	1	0.91	116960	-	-
redis_setget	hz10-base	1	0.55	8192	-	-
redis_server_rss_kb	hz10-base	1	-	NA	NA	server
larson	hz10-base	1	4.648	8847744	8847744	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	1	-	-	-	1222251
xmalloc_test	hz10-base	1	2.00	13184	-	-
cache_scratch	hz10-base	1	1.11	3968	-	-
mstress	hz10-base	1	0.26	404472	-	-
sh6bench	hz10-base	1	0.68	324480	-	-
python_alloc	hz10-base	2	0.93	117012	-	-
redis_setget	hz10-base	2	0.56	8064	-	-
redis_server_rss_kb	hz10-base	2	-	NA	NA	server
larson	hz10-base	2	4.103	9185280	9185280	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	2	-	-	-	1265593
xmalloc_test	hz10-base	2	2.00	17280	-	-
cache_scratch	hz10-base	2	1.12	3968	-	-
mstress	hz10-base	2	0.26	402520	-	-
sh6bench	hz10-base	2	0.67	324480	-	-
python_alloc	hz10-base	3	0.97	116884	-	-
redis_setget	hz10-base	3	0.55	8064	-	-
redis_server_rss_kb	hz10-base	3	-	NA	NA	server
larson	hz10-base	3	4.689	9072256	9072256	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	3	-	-	-	1253217
xmalloc_test	hz10-base	3	2.00	13312	-	-
cache_scratch	hz10-base	3	1.12	3968	-	-
mstress	hz10-base	3	0.26	401524	-	-
sh6bench	hz10-base	3	0.67	324864	-	-
python_alloc	hz10-base	4	0.96	116660	-	-
redis_setget	hz10-base	4	0.55	8192	-	-
redis_server_rss_kb	hz10-base	4	-	NA	NA	server
larson	hz10-base	4	4.103	9179648	9179648	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	4	-	-	-	1268316
xmalloc_test	hz10-base	4	2.00	17408	-	-
cache_scratch	hz10-base	4	1.11	3968	-	-
mstress	hz10-base	4	0.25	401484	-	-
sh6bench	hz10-base	4	0.67	324992	-	-
python_alloc	hz10-base	5	0.94	116416	-	-
redis_setget	hz10-base	5	0.55	8064	-	-
redis_server_rss_kb	hz10-base	5	-	NA	NA	server
larson	hz10-base	5	4.086	9201024	9201024	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	5	-	-	-	1266769
xmalloc_test	hz10-base	5	2.00	15104	-	-
cache_scratch	hz10-base	5	1.11	3968	-	-
mstress	hz10-base	5	0.25	409928	-	-
sh6bench	hz10-base	5	0.67	324352	-	-
python_alloc	hz10+orphan	1	0.94	116900	-	-
redis_setget	hz10+orphan	1	0.55	8192	-	-
redis_server_rss_kb	hz10+orphan	1	-	NA	NA	server
larson	hz10+orphan	1	4.285	2382976	2382976	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	1	-	-	-	2078650
xmalloc_test	hz10+orphan	1	2.00	15360	-	-
cache_scratch	hz10+orphan	1	1.12	3968	-	-
mstress	hz10+orphan	1	0.22	213944	-	-
sh6bench	hz10+orphan	1	0.68	323584	-	-
python_alloc	hz10+orphan	2	0.91	116816	-	-
redis_setget	hz10+orphan	2	0.54	8064	-	-
redis_server_rss_kb	hz10+orphan	2	-	NA	NA	server
larson	hz10+orphan	2	4.278	2383616	2383616	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	2	-	-	-	2079479
xmalloc_test	hz10+orphan	2	2.00	13312	-	-
cache_scratch	hz10+orphan	2	1.10	3968	-	-
mstress	hz10+orphan	2	0.22	208796	-	-
sh6bench	hz10+orphan	2	0.68	324096	-	-
python_alloc	hz10+orphan	3	0.92	116804	-	-
redis_setget	hz10+orphan	3	0.55	8064	-	-
redis_server_rss_kb	hz10+orphan	3	-	NA	NA	server
larson	hz10+orphan	3	4.291	2383360	2383360	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	3	-	-	-	2079222
xmalloc_test	hz10+orphan	3	2.00	14848	-	-
cache_scratch	hz10+orphan	3	1.10	3968	-	-
mstress	hz10+orphan	3	0.22	212444	-	-
sh6bench	hz10+orphan	3	0.71	323584	-	-
python_alloc	hz10+orphan	4	0.91	116964	-	-
redis_setget	hz10+orphan	4	0.55	8192	-	-
redis_server_rss_kb	hz10+orphan	4	-	NA	NA	server
larson	hz10+orphan	4	4.298	2384000	2384000	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	4	-	-	-	2079617
xmalloc_test	hz10+orphan	4	2.00	14080	-	-
cache_scratch	hz10+orphan	4	1.11	3968	-	-
mstress	hz10+orphan	4	0.22	208604	-	-
sh6bench	hz10+orphan	4	0.70	323328	-	-
python_alloc	hz10+orphan	5	0.91	117016	-	-
redis_setget	hz10+orphan	5	0.55	7936	-	-
redis_server_rss_kb	hz10+orphan	5	-	NA	NA	server
larson	hz10+orphan	5	4.280	2385280	2385280	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	5	-	-	-	2080311
xmalloc_test	hz10+orphan	5	2.00	16512	-	-
cache_scratch	hz10+orphan	5	1.10	3968	-	-
mstress	hz10+orphan	5	0.22	211308	-	-
sh6bench	hz10+orphan	5	0.70	324224	-	-
python_alloc	tcmalloc	1	0.82	104576	-	-
redis_setget	tcmalloc	1	0.55	8064	-	-
redis_server_rss_kb	tcmalloc	1	-	NA	NA	server
larson	tcmalloc	1	4.143	279040	279040	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	1	-	-	-	2095362
xmalloc_test	tcmalloc	1	2.03	196608	-	-
cache_scratch	tcmalloc	1	1.11	7680	-	-
mstress	tcmalloc	1	0.16	211456	-	-
sh6bench	tcmalloc	1	0.32	272128	-	-
python_alloc	tcmalloc	2	0.81	104192	-	-
redis_setget	tcmalloc	2	0.55	7936	-	-
redis_server_rss_kb	tcmalloc	2	-	NA	NA	server
larson	tcmalloc	2	4.167	279040	279040	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	2	-	-	-	2095352
xmalloc_test	tcmalloc	2	2.03	196736	-	-
cache_scratch	tcmalloc	2	1.11	7680	-	-
mstress	tcmalloc	2	0.16	219008	-	-
sh6bench	tcmalloc	2	0.32	271104	-	-
python_alloc	tcmalloc	3	0.83	104320	-	-
redis_setget	tcmalloc	3	0.55	8064	-	-
redis_server_rss_kb	tcmalloc	3	-	NA	NA	server
larson	tcmalloc	3	4.147	279040	279040	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	3	-	-	-	2095348
xmalloc_test	tcmalloc	3	2.03	195584	-	-
cache_scratch	tcmalloc	3	1.10	7552	-	-
mstress	tcmalloc	3	0.17	219264	-	-
sh6bench	tcmalloc	3	0.32	273920	-	-
python_alloc	tcmalloc	4	0.83	104448	-	-
redis_setget	tcmalloc	4	0.55	7936	-	-
redis_server_rss_kb	tcmalloc	4	-	NA	NA	server
larson	tcmalloc	4	4.157	278912	278912	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	4	-	-	-	2095352
xmalloc_test	tcmalloc	4	2.03	195712	-	-
cache_scratch	tcmalloc	4	1.10	7552	-	-
mstress	tcmalloc	4	0.16	219392	-	-
sh6bench	tcmalloc	4	0.32	271616	-	-
python_alloc	tcmalloc	5	0.84	104448	-	-
redis_setget	tcmalloc	5	0.59	8064	-	-
redis_server_rss_kb	tcmalloc	5	-	NA	NA	server
larson	tcmalloc	5	4.139	279168	279168	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	5	-	-	-	2095351
xmalloc_test	tcmalloc	5	2.03	195968	-	-
cache_scratch	tcmalloc	5	1.10	7680	-	-
mstress	tcmalloc	5	0.16	214400	-	-
sh6bench	tcmalloc	5	0.32	270720	-	-
python_alloc	mimalloc	1	0.68	102360	-	-
redis_setget	mimalloc	1	0.55	8192	-	-
redis_server_rss_kb	mimalloc	1	-	NA	NA	server
larson	mimalloc	1	4.157	284148	284148	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	1	-	-	-	2095737
xmalloc_test	mimalloc	1	2.00	20576	-	-
cache_scratch	mimalloc	1	1.10	5724	-	-
mstress	mimalloc	1	0.23	325424	-	-
sh6bench	mimalloc	1	0.27	272972	-	-
python_alloc	mimalloc	2	0.68	102668	-	-
redis_setget	mimalloc	2	0.55	8064	-	-
redis_server_rss_kb	mimalloc	2	-	NA	NA	server
larson	mimalloc	2	4.148	285464	285464	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	2	-	-	-	2095736
xmalloc_test	mimalloc	2	2.00	22608	-	-
cache_scratch	mimalloc	2	1.10	5724	-	-
mstress	mimalloc	2	0.25	343352	-	-
sh6bench	mimalloc	2	0.27	272308	-	-
python_alloc	mimalloc	3	0.70	102352	-	-
redis_setget	mimalloc	3	0.52	8064	-	-
redis_server_rss_kb	mimalloc	3	-	NA	NA	server
larson	mimalloc	3	4.138	285548	285548	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	3	-	-	-	2095737
xmalloc_test	mimalloc	3	2.00	22608	-	-
cache_scratch	mimalloc	3	1.09	5596	-	-
mstress	mimalloc	3	0.22	324636	-	-
sh6bench	mimalloc	3	0.27	272844	-	-
python_alloc	mimalloc	4	0.70	102620	-	-
redis_setget	mimalloc	4	0.53	8192	-	-
redis_server_rss_kb	mimalloc	4	-	NA	NA	server
larson	mimalloc	4	4.158	283840	283840	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	4	-	-	-	2095737
xmalloc_test	mimalloc	4	2.00	20556	-	-
cache_scratch	mimalloc	4	1.10	5852	-	-
mstress	mimalloc	4	0.18	328080	-	-
sh6bench	mimalloc	4	0.25	272588	-	-
python_alloc	mimalloc	5	0.70	102412	-	-
redis_setget	mimalloc	5	0.56	8320	-	-
redis_server_rss_kb	mimalloc	5	-	NA	NA	server
larson	mimalloc	5	4.148	284104	284104	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	5	-	-	-	2095737
xmalloc_test	mimalloc	5	2.00	20560	-	-
cache_scratch	mimalloc	5	1.10	5724	-	-
mstress	mimalloc	5	0.20	342736	-	-
sh6bench	mimalloc	5	0.25	272720	-	-
