workload	allocator	run	wall_sec	max_rss_kb	current_rss_kb	extra
larson_throughput	hz10-base	3	-	-	-	1268598
xmalloc_test	hz10-base	3	2.00	16640	-	-
cache_scratch	hz10-base	3	1.15	3968	-	-
mstress	hz10-base	3	0.25	399856	-	-
sh6bench	hz10-base	3	0.49	324352	-	-
python_alloc	hz10-base	4	0.94	116680	-	-
redis_setget	hz10-base	4	0.55	8064	-	-
redis_server_rss_kb	hz10-base	4	-	NA	NA	server
larson	hz10-base	4	4.681	9126144	9126144	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	4	-	-	-	1258297
xmalloc_test	hz10-base	4	2.00	13312	-	-
cache_scratch	hz10-base	4	1.11	3968	-	-
mstress	hz10-base	4	0.26	399820	-	-
sh6bench	hz10-base	4	0.48	324480	-	-
python_alloc	hz10-base	5	0.88	116740	-	-
redis_setget	hz10-base	5	0.55	8064	-	-
redis_server_rss_kb	hz10-base	5	-	NA	NA	server
larson	hz10-base	5	4.078	9198848	9198848	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10-base	5	-	-	-	1270654
xmalloc_test	hz10-base	5	2.00	16896	-	-
cache_scratch	hz10-base	5	1.11	3840	-	-
mstress	hz10-base	5	0.25	406368	-	-
sh6bench	hz10-base	5	0.48	324224	-	-
python_alloc	hz10+orphan	1	0.89	116700	-	-
redis_setget	hz10+orphan	1	0.55	8064	-	-
redis_server_rss_kb	hz10+orphan	1	-	NA	NA	server
larson	hz10+orphan	1	4.291	2384000	2384000	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	1	-	-	-	2079607
xmalloc_test	hz10+orphan	1	2.00	13056	-	-
cache_scratch	hz10+orphan	1	1.10	3968	-	-
mstress	hz10+orphan	1	0.21	213700	-	-
sh6bench	hz10+orphan	1	0.50	323712	-	-
python_alloc	hz10+orphan	2	0.87	116780	-	-
redis_setget	hz10+orphan	2	0.55	8064	-	-
redis_server_rss_kb	hz10+orphan	2	-	NA	NA	server
larson	hz10+orphan	2	4.291	2384768	2384768	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	2	-	-	-	2080184
xmalloc_test	hz10+orphan	2	2.00	15104	-	-
cache_scratch	hz10+orphan	2	1.11	3968	-	-
mstress	hz10+orphan	2	0.21	207328	-	-
sh6bench	hz10+orphan	2	0.49	323840	-	-
python_alloc	hz10+orphan	3	0.88	116896	-	-
redis_setget	hz10+orphan	3	0.55	8064	-	-
redis_server_rss_kb	hz10+orphan	3	-	NA	NA	server
larson	hz10+orphan	3	4.278	2385024	2385024	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	3	-	-	-	2080572
xmalloc_test	hz10+orphan	3	2.00	13056	-	-
cache_scratch	hz10+orphan	3	1.10	3968	-	-
mstress	hz10+orphan	3	0.21	208580	-	-
sh6bench	hz10+orphan	3	0.50	324352	-	-
python_alloc	hz10+orphan	4	0.91	116788	-	-
redis_setget	hz10+orphan	4	0.54	8064	-	-
redis_server_rss_kb	hz10+orphan	4	-	NA	NA	server
larson	hz10+orphan	4	4.284	2383616	2383616	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	4	-	-	-	2079090
xmalloc_test	hz10+orphan	4	2.00	13056	-	-
cache_scratch	hz10+orphan	4	1.11	3712	-	-
mstress	hz10+orphan	4	0.21	210368	-	-
sh6bench	hz10+orphan	4	0.50	323840	-	-
python_alloc	hz10+orphan	5	0.88	116760	-	-
redis_setget	hz10+orphan	5	0.56	7936	-	-
redis_server_rss_kb	hz10+orphan	5	-	NA	NA	server
larson	hz10+orphan	5	4.283	2384384	2384384	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	hz10+orphan	5	-	-	-	2079610
xmalloc_test	hz10+orphan	5	2.00	13184	-	-
cache_scratch	hz10+orphan	5	1.10	3968	-	-
mstress	hz10+orphan	5	0.21	208492	-	-
sh6bench	hz10+orphan	5	0.51	323712	-	-
python_alloc	tcmalloc	1	0.84	104320	-	-
redis_setget	tcmalloc	1	0.55	8064	-	-
redis_server_rss_kb	tcmalloc	1	-	NA	NA	server
larson	tcmalloc	1	4.164	278400	278400	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	1	-	-	-	2095352
xmalloc_test	tcmalloc	1	2.03	195968	-	-
cache_scratch	tcmalloc	1	1.10	7552	-	-
mstress	tcmalloc	1	0.17	223104	-	-
sh6bench	tcmalloc	1	0.33	270208	-	-
python_alloc	tcmalloc	2	0.87	104448	-	-
redis_setget	tcmalloc	2	0.55	8064	-	-
redis_server_rss_kb	tcmalloc	2	-	NA	NA	server
larson	tcmalloc	2	4.153	278784	278784	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	2	-	-	-	2095361
xmalloc_test	tcmalloc	2	2.03	195584	-	-
cache_scratch	tcmalloc	2	1.09	7552	-	-
mstress	tcmalloc	2	0.16	219136	-	-
sh6bench	tcmalloc	2	0.31	271360	-	-
python_alloc	tcmalloc	3	0.82	104576	-	-
redis_setget	tcmalloc	3	0.53	8192	-	-
redis_server_rss_kb	tcmalloc	3	-	NA	NA	server
larson	tcmalloc	3	4.148	279040	279040	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	3	-	-	-	2095353
xmalloc_test	tcmalloc	3	2.03	196224	-	-
cache_scratch	tcmalloc	3	1.09	7552	-	-
mstress	tcmalloc	3	0.16	216448	-	-
sh6bench	tcmalloc	3	0.32	271488	-	-
python_alloc	tcmalloc	4	0.83	104448	-	-
redis_setget	tcmalloc	4	0.56	7936	-	-
redis_server_rss_kb	tcmalloc	4	-	NA	NA	server
larson	tcmalloc	4	4.146	278784	278784	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	4	-	-	-	2095360
xmalloc_test	tcmalloc	4	2.02	198144	-	-
cache_scratch	tcmalloc	4	1.11	7552	-	-
mstress	tcmalloc	4	0.16	217600	-	-
sh6bench	tcmalloc	4	0.32	270976	-	-
python_alloc	tcmalloc	5	0.82	104448	-	-
redis_setget	tcmalloc	5	0.56	8064	-	-
redis_server_rss_kb	tcmalloc	5	-	NA	NA	server
larson	tcmalloc	5	4.170	278912	278912	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	tcmalloc	5	-	-	-	2095354
xmalloc_test	tcmalloc	5	2.03	195840	-	-
cache_scratch	tcmalloc	5	1.10	7552	-	-
mstress	tcmalloc	5	0.16	218368	-	-
sh6bench	tcmalloc	5	0.32	271232	-	-
python_alloc	mimalloc	1	0.69	102396	-	-
redis_setget	mimalloc	1	0.55	8064	-	-
redis_server_rss_kb	mimalloc	1	-	NA	NA	server
larson	mimalloc	1	4.154	283852	283852	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	1	-	-	-	2095726
xmalloc_test	mimalloc	1	2.00	22612	-	-
cache_scratch	mimalloc	1	1.09	5852	-	-
mstress	mimalloc	1	0.24	345320	-	-
sh6bench	mimalloc	1	0.25	272972	-	-
python_alloc	mimalloc	2	0.69	102280	-	-
redis_setget	mimalloc	2	0.52	8192	-	-
redis_server_rss_kb	mimalloc	2	-	NA	NA	server
larson	mimalloc	2	4.154	284148	284148	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	2	-	-	-	2095737
xmalloc_test	mimalloc	2	2.00	20436	-	-
cache_scratch	mimalloc	2	1.09	5504	-	-
mstress	mimalloc	2	0.24	363752	-	-
sh6bench	mimalloc	2	0.26	272700	-	-
python_alloc	mimalloc	3	0.69	102416	-	-
redis_setget	mimalloc	3	0.55	8064	-	-
redis_server_rss_kb	mimalloc	3	-	NA	NA	server
larson	mimalloc	3	4.169	285352	285352	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	3	-	-	-	2095738
xmalloc_test	mimalloc	3	2.00	20560	-	-
cache_scratch	mimalloc	3	1.10	5852	-	-
mstress	mimalloc	3	0.26	324992	-	-
sh6bench	mimalloc	3	0.27	271552	-	-
python_alloc	mimalloc	4	0.69	102412	-	-
redis_setget	mimalloc	4	0.54	8064	-	-
redis_server_rss_kb	mimalloc	4	-	NA	NA	server
larson	mimalloc	4	4.144	284164	284164	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	4	-	-	-	2095736
xmalloc_test	mimalloc	4	2.00	22480	-	-
cache_scratch	mimalloc	4	1.10	5684	-	-
mstress	mimalloc	4	0.23	322656	-	-
sh6bench	mimalloc	4	0.25	272716	-	-
python_alloc	mimalloc	5	0.69	102412	-	-
redis_setget	mimalloc	5	0.55	8192	-	-
redis_server_rss_kb	mimalloc	5	-	NA	NA	server
larson	mimalloc	5	4.159	283740	283740	seconds=2,min=8,max=128,chunks=128,rounds=1,seed=12345,threads=4
larson_throughput	mimalloc	5	-	-	-	2095736
xmalloc_test	mimalloc	5	2.00	30684	-	-
cache_scratch	mimalloc	5	1.10	5724	-	-
mstress	mimalloc	5	0.26	341100	-	-
sh6bench	mimalloc	5	0.25	272588	-	-
